index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,1984.01,1,1417,Ms1e,Ichinowatari,1-0 (4-3),1,yorikiri,4326,J13w,Shushi,0-1 (2-3-10),0
1,1984.01,1,4326,J13w,Shushi,0-1 (2-3-10),0,yorikiri,1417,Ms1e,Ichinowatari,1-0 (4-3),1
2,1984.01,1,1358,J12w,Hoshikabuto,0-1 (8-7),0,uwatenage,4136,J13e,Kitao,1-0 (8-7),1
3,1984.01,1,4136,J13e,Kitao,1-0 (8-7),1,uwatenage,1358,J12w,Hoshikabuto,0-1 (8-7),0
4,1984.01,1,1317,J11w,Hananokuni,0-1 (9-6),0,oshidashi,4327,J12e,Hiyama,1-0 (3-12),1
5,1984.01,1,4327,J12e,Hiyama,1-0 (3-12),1,oshidashi,1317,J11w,Hananokuni,0-1 (9-6),0
6,1984.01,1,4103,J11e,Banryuyama,1-0 (8-7),1,tsukitaoshi,4323,J10w,Shiraiwa,0-1 (2-13),0
7,1984.01,1,4323,J10w,Shiraiwa,0-1 (2-13),0,tsukitaoshi,4103,J11e,Banryuyama,1-0 (8-7),1
8,1984.01,1,1372,J10e,Maenoshin,0-1 (5-10),0,sukuinage,4311,J9w,Hakuryu,1-0 (7-8),1
9,1984.01,1,4311,J9w,Hakuryu,1-0 (7-8),1,sukuinage,1372,J10e,Maenoshin,0-1 (5-10),0
10,1984.01,1,1362,J9e,Onohana,1-0 (2-3-10),1,sukuinage,1364,J8w,Masurao,0-1 (8-7),0
11,1984.01,1,1364,J8w,Masurao,0-1 (8-7),0,sukuinage,1362,J9e,Onohana,1-0 (2-3-10),1
12,1984.01,1,1376,J8e,Hananoumi,1-0 (10-5),1,oshidashi,4122,J7w,Kurosegawa,0-1 (7-8),0
13,1984.01,1,4122,J7w,Kurosegawa,0-1 (7-8),0,oshidashi,1376,J8e,Hananoumi,1-0 (10-5),1
14,1984.01,1,1345,J7e,Tamaryu,0-1 (7-8),0,yorikiri,4094,J6e,Onishiki,1-0 (12-3),1
15,1984.01,1,4094,J6e,Onishiki,1-0 (12-3),1,yorikiri,1345,J7e,Tamaryu,0-1 (7-8),0
16,1984.01,1,1301,J5e,Kirishima,1-0 (10-5),1,utchari,4130,J5w,Hachiya,0-1 (6-9),0
17,1984.01,1,4130,J5w,Hachiya,0-1 (6-9),0,utchari,1301,J5e,Kirishima,1-0 (10-5),1
18,1984.01,1,4117,J4e,Azumanada,0-1 (4-11),0,kotenage,4137,J4w,Hattori,1-0 (8-7),1
19,1984.01,1,4137,J4w,Hattori,1-0 (8-7),1,kotenage,4117,J4e,Azumanada,0-1 (4-11),0
20,1984.01,1,1287,J3e,Konishiki,1-0 (4-5-6),1,oshidashi,4124,J3w,Shishiho,0-1 (7-8),0
21,1984.01,1,4124,J3w,Shishiho,0-1 (7-8),0,oshidashi,1287,J3e,Konishiki,1-0 (4-5-6),1
22,1984.01,1,4078,J1w,Oshio,1-0 (10-5),1,sukuinage,4132,J2w,Wakanofuji,0-1 (9-6),0
23,1984.01,1,4132,J2w,Wakanofuji,0-1 (9-6),0,sukuinage,4078,J1w,Oshio,1-0 (10-5),1
24,1984.01,1,4118,J1e,Amanoyama,0-1 (8-7),0,yorikiri,4128,J2e,Kotochitose,1-0 (7-8),1
25,1984.01,1,4128,J2e,Kotochitose,1-0 (7-8),1,yorikiri,4118,J1e,Amanoyama,0-1 (8-7),0
26,1984.01,1,1302,M13w,Takamisugi,1-0 (8-7),1,yorikiri,1337,M14e,Tochitsukasa,0-1 (9-6),0
27,1984.01,1,1337,M14e,Tochitsukasa,0-1 (9-6),0,yorikiri,1302,M13w,Takamisugi,1-0 (8-7),1
28,1984.01,1,1348,M12w,Jingaku,1-0 (9-6),1,yorikiri,1385,M13e,Tochiakagi,0-1 (6-9),0
