index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,2002.01,1,22,J13w,Gojoro,1-0 (7-8),1,yoritaoshi,205,Ms1e,Goto,0-1 (2-5),0
1,2002.01,1,205,Ms1e,Goto,0-1 (2-5),0,yoritaoshi,22,J13w,Gojoro,1-0 (7-8),1
2,2002.01,1,226,J12e,Wakatenro,0-1 (7-8),0,oshidashi,287,J13e,Wakatoba,1-0 (4-11),1
3,2002.01,1,287,J13e,Wakatoba,1-0 (4-11),1,oshidashi,226,J12e,Wakatenro,0-1 (7-8),0
4,2002.01,1,175,J11e,Ushiomaru,1-0 (11-4),1,tsukiotoshi,222,J11w,Sumanofuji,0-1 (7-8),0
5,2002.01,1,222,J11w,Sumanofuji,0-1 (7-8),0,tsukiotoshi,175,J11e,Ushiomaru,1-0 (11-4),1
6,2002.01,1,135,J10w,Hokutoriki,1-0 (10-5),1,oshidashi,149,J10e,Juzan,0-1 (7-8),0
7,2002.01,1,149,J10e,Juzan,0-1 (7-8),0,oshidashi,135,J10w,Hokutoriki,1-0 (10-5),1
8,2002.01,1,25,J8w,Hamanoshima,0-1 (4-11),0,oshidashi,107,J9e,Kasuganishiki,1-0 (10-5),1
9,2002.01,1,107,J9e,Kasuganishiki,1-0 (10-5),1,oshidashi,25,J8w,Hamanoshima,0-1 (4-11),0
10,2002.01,1,16,J8e,Minatofuji,1-0 (7-8),1,kotenage,92,J7w,Harunoyama,0-1 (6-9),0
11,2002.01,1,92,J7w,Harunoyama,0-1 (6-9),0,kotenage,16,J8e,Minatofuji,1-0 (7-8),1
12,2002.01,1,62,J7e,Daishi,0-1 (6-9),0,yorikiri,81,J6w,Wakakosho,1-0 (7-8),1
13,2002.01,1,81,J6w,Wakakosho,1-0 (7-8),1,yorikiri,62,J7e,Daishi,0-1 (6-9),0
14,2002.01,1,97,J6e,Tochinohana,0-1 (9-6),0,yorikiri,875,J5w,Takamisakari,1-0 (12-3),1
15,2002.01,1,875,J5w,Takamisakari,1-0 (12-3),1,yorikiri,97,J6e,Tochinohana,0-1 (9-6),0
16,2002.01,1,11,J4e,Aogiyama,0-1 (6-9),0,oshidashi,199,J5e,Kuniazuma,1-0 (6-9),1
17,2002.01,1,199,J5e,Kuniazuma,1-0 (6-9),1,oshidashi,11,J4e,Aogiyama,0-1 (6-9),0
18,2002.01,1,69,J3w,Towanoyama,1-0 (11-4),1,yorikiri,1018,J3e,Shimotori,0-1 (12-3),0
